col1,col2,chart_count,lida_score,draco_cost,final_score,llm_selected
date,temp_max,1,7.5,14.0,0.4083333333333333,True
date,precipitation,1,8.75,12.0,0.47596153846153844,False
date,temp_min,1,6.0,14.0,0.3333333333333333,False
date,wind,1,7.5,12.0,0.41346153846153844,False
date,weather,1,6.25,14.0,0.3458333333333333,False
precipitation,temp_max,1,6.0,14.0,0.3333333333333333,False
precipitation,temp_min,1,6.25,14.0,0.3458333333333333,False
precipitation,wind,1,8.75,12.0,0.47596153846153844,False
precipitation,weather,1,6.75,14.0,0.37083333333333335,False
temp_max,temp_min,1,7.0,16.0,0.37941176470588234,False
temp_max,wind,1,6.0,14.0,0.3333333333333333,False
temp_max,weather,1,6.25,16.0,0.34191176470588236,False
temp_min,wind,1,6.25,14.0,0.3458333333333333,False
temp_min,weather,1,6.25,16.0,0.34191176470588236,False
wind,weather,1,6.25,14.0,0.3458333333333333,False
